doi,title,journal_name
10.1093/jn/nxac006,"Different Isocaloric Meals and Adiposity Modify Energy Expenditure, Clinical and Metabolomic Biomarkers During Resting and Exercise States in a Randomized Cross-over Acute Trial of Normal Weight and Overweight/obese Men",The Journal of Nutrition
10.1093/jn/nxab426,"Oligofructose-Enriched Inulin Intake, Gut Microbiome Characteristics, and the V̇O2 Peak Response to High-Intensity Interval Training in Healthy Inactive Adults",The Journal of Nutrition
10.1093/jn/nxab219,Dose–Response Oxidation of Ingested Phytoglycogen during Exercise in Endurance-Trained Men,The Journal of Nutrition
10.1093/toxsci/kfy216,Transcription Factor FOXO3a Is a Negative Regulator of Cytotoxicity of Fusarium mycotoxin in GES-1 Cells,Toxicological Sciences
10.1093/ajcn/57.5.738s,"The regulatory, informational, and immunomodulatory roles of fat fuels",The American Journal of Clinical Nutrition
10.1093/ajcn/49.5.976,Energy balance in ultramarathon running,The American Journal of Clinical Nutrition
10.1093/ajcn/68.1.66,Alterations in resting metabolic rate as a consequence of 20 wk of endurance training: the HERITAGE Family Study,The American Journal of Clinical Nutrition
10.1093/gerona/50a.1.m7,A Controlled Trial of Exercise Training in Older Coronary Patients,The Journals of Gerontology Series A: Biological Sciences and Medical Sciences
10.1093/ajcn/61.2.303,Energy balance in female distance runners,The American Journal of Clinical Nutrition
10.1093/ajcn/59.1.42,Effect of lactation on resting metabolic rate and on diet- and work-induced thermogenesis,The American Journal of Clinical Nutrition
