age_group_min,age_group_max,Sex,modality,n,vo2peak_mean,vo2peak_sd
20,29,m,treadmill,1278,45.2,11.8
30,39,m,treadmill,1473,40,11.8
40,49,m,treadmill,2119,35.8,10.8
50,59,m,treadmill,2082,30.2,9.7
60,69,m,treadmill,1663,25.4,8.3
70,79,m,treadmill,776,21.2,6.5
80,89,m,treadmill,173,17.9,3.9
20,29,f,treadmill,1142,36.3,10.2
30,39,f,treadmill,1043,29.5,9
40,49,f,treadmill,1372,26.6,8.1
50,59,f,treadmill,1457,23.8,6.6
60,69,f,treadmill,1045,20,5.5
70,79,f,treadmill,549,17.5,4.2
80,89,f,treadmill,106,15.9,4.8
20,29,m,cycle,367,45.1,13.3
30,39,m,cycle,251,32.4,12.8
40,49,m,cycle,446,28.9,9
50,59,m,cycle,601,26.2,8.8
60,69,m,cycle,465,22.7,7.3
70,79,m,cycle,257,18.9,6.4
80,89,m,cycle,52,13.8,5.1
20,29,f,cycle,411,32,10.6
30,39,f,cycle,377,23,8.5
40,49,f,cycle,674,20,6
50,59,f,cycle,1115,17.6,4.5
60,69,f,cycle,750,16.1,3.6
70,79,f,cycle,308,14.4,3
80,89,f,cycle,27,11.7,4.2
